,interest,vacancy,cpi,price,value,adj_price,adj_value,next_quarter,change,interest_year,vacancy_year,adj_price_year,adj_value_year
2008-02-02,5.68,10.1,212.174,175000.0,203144.86393329475,82479.47439365803,95744.46630279618,85034.01360544217,1,1.0,1.0,1.0,1.0
2008-02-09,5.67,10.1,212.687,170000.0,203144.86393329475,79929.66189753017,95513.53112004718,81316.67967733541,1,0.9991189427312775,1.0,0.9843000673831784,0.9987925462680735
2008-02-16,5.72,10.1,212.687,171488.0,203144.86393329475,80629.28152637444,95513.53112004718,83640.01338240213,1,1.0052724077328645,1.0,0.9952658791611169,0.9991947067272597
2008-02-23,6.04,10.1,212.687,168000.0,203144.86393329475,78989.31293402982,95513.53112004718,83640.01338240213,1,1.0454348766767634,1.0,0.9811492041343612,0.9993959084277251
2008-03-01,6.24,10.1,212.687,176000.0,201795.0629094826,82750.70878803123,94878.88912321045,86428.01382848222,1,1.0630323679727427,1.0,1.0221728815663709,0.9941959086030258
2008-03-08,6.03,10.1,213.448,175000.0,201795.0629094826,81987.18188973427,94540.6201554864,82772.70156302452,1,1.0226116449971734,1.0,1.0105953865310024,0.9921972846622962
2008-03-15,6.13,10.1,213.448,175233.0,201795.0629094826,82096.34196619317,94540.6201554864,83462.47407604972,1,1.033726812816189,1.0,1.0102176463567831,0.9933044949791512
2008-03-22,5.87,10.1,213.448,177000.0,201795.0629094826,82924.17825418837,94540.6201554864,86221.56412815054,1,0.9911355002110595,1.0,1.0178084246381616,0.9941365257415901
2008-03-29,5.85,10.1,213.448,179900.0,201795.0629094826,84282.82298264683,94540.6201554864,85991.63995714214,1,0.9891038887845199,1.0,1.0305357830467157,0.9947846250795697
2008-04-05,5.88,10.0,213.942,178705.0,200337.9520888253,83529.64822241542,93641.24486488174,85838.47755415131,1,0.994755540517679,0.9910802775024777,1.0191531185181903,0.9867695960942222
2008-04-12,5.88,10.0,213.942,174900.0,200337.9520888253,81751.12881061221,93641.24486488174,84468.71461445739,1,0.9952300353900602,0.9918845807033365,0.9976842232796085,0.987957876252833
2008-04-19,5.88,10.0,213.942,180000.0,200337.9520888253,84134.95246375186,93641.24486488174,84468.71461445739,1,0.9956257937067869,0.9925558312655087,1.0244902184474651,0.988950298075268
2008-04-26,6.03,10.0,213.942,175500.0,200337.9520888253,82031.57865215806,93641.24486488174,82277.09391094715,1,1.019375812743823,0.9931245225362872,0.9989641841239684,0.9897915982389714
2008-05-03,6.06,10.0,215.208,183000.0,198822.5636180285,85034.01360544217,92386.2326763078,84468.71461445739,0,1.0226615236258438,0.9936124911284598,1.032906073199046,0.9781661708792796
2008-05-10,6.05,10.0,215.208,175000.0,198822.5636180285,81316.67967733541,92386.2326763078,80021.94887740638,0,1.0195483653522075,0.9940357852882703,0.9885589198087528,0.9795920539134906
2008-05-17,6.01,10.0,215.208,180000.0,198822.5636180285,83640.01338240213,92386.2326763078,82308.2902739037,0,1.0119974742159545,0.9944064636420137,1.0157367171448615,0.98084311600291
2008-05-24,5.98,10.0,215.208,180000.0,198822.5636180285,83640.01338240213,92386.2326763078,80707.85129635557,0,1.0065346534653465,0.994733762434172,1.0147973301716688,0.9819496510356083
2008-05-31,6.08,10.0,215.208,186000.0,198822.5636180285,86428.01382848222,92386.2326763078,82308.2902739037,0,1.022039596563317,0.9950248756218905,1.0457988618727736,0.9829353358034241
2008-06-07,6.09,10.0,217.463,180000.0,197228.70424851184,82772.70156302452,90695.29264680053,77783.41260159815,0,1.0224441106300255,0.9952854897852279,1.001486053989723,0.9667283533171143
2008-06-14,6.32,10.0,217.463,181500.0,197228.70424851184,83462.47407604972,90695.29264680053,77669.1931998337,0,1.057829107038246,0.9955201592832255,1.0093355932801753,0.9683392654125129
2008-06-21,6.42,10.0,217.463,187500.0,197228.70424851184,86221.56412815054,90695.29264680053,77669.1931998337,0,1.0707648320228735,0.9957325746799431,1.0405860987373705,0.9698013903850632
2008-06-28,6.45,10.0,217.463,187000.0,197228.70424851184,85991.63995714214,90695.29264680053,77669.1931998337,0,1.07207615593835,0.9959257582616569,1.0360305860078494,0.9711344317299466
2008-07-05,6.35,9.9,219.016,188000.0,195532.57882232225,85838.47755415131,89277.75999119802,78342.81895896219,0,1.0529161560089393,0.9865684575389948,1.0326504341067115,0.9577901003807092
2008-07-12,6.37,9.9,219.016,185000.0,195532.57882232225,84468.71461445739,89277.75999119802,77260.30553699394,0,1.053763440860215,0.987120897382634,1.0154877015504442,0.9594775775571946
2008-07-19,6.26,9.9,219.016,185000.0,195532.57882232225,84468.71461445739,89277.75999119802,78342.81895896219,0,1.0340954142989294,0.9876296887470073,1.0148589882254275,0.9610353167206592
2008-07-26,6.63,9.9,219.016,180200.0,195532.57882232225,82277.09391094715,89277.75999119802,76038.61840134565,0,1.0912198518706084,0.9880998080614203,0.9889638916435056,0.9624777259419955
2008-08-02,6.52,9.9,219.016,185000.0,193651.66352766685,84468.71461445739,88418.95730342389,77881.97884743888,0,1.0702170344701805,0.98853550295858,1.0147317145605774,0.954873656915884
2008-08-09,6.52,9.9,218.69,175000.0,193651.66352766685,80021.94887740638,88550.76296477519,75063.45207433158,0,1.0675399099467866,0.9889404209775241,0.9626423299045035,0.9577920214201088
2008-08-16,6.52,9.9,218.69,180000.0,193651.66352766685,82308.2902739037,88550.76296477519,75931.37323894104,0,1.06505942657579,0.9893177119228119,0.9904829422046705,0.9591880693333678
2008-08-23,6.47,9.9,218.69,176500.0,193651.66352766685,80707.85129635557,88550.76296477519,75063.45207433158,0,1.054891304347826,0.9896701099633456,0.9721560582813953,0.9604947241362715
2008-08-30,6.4,9.9,218.69,180000.0,193651.66352766685,82308.2902739037,88550.76296477519,75686.61955174599,0,1.042016806722689,0.99,0.9917079736682941,0.9617203056194084
2008-09-06,6.35,9.9,218.877,170250.0,191748.4651482811,77783.41260159815,87605.57991396131,74740.53680734917,0,1.032782719186785,0.9903094717099095,0.9390322471962614,0.9529005680208337
2008-09-13,5.93,9.9,218.877,170000.0,191748.4651482811,77669.1931998337,87605.57991396131,75686.61955174599,0,0.9655121373593842,0.990600363856883,0.9394281999353891,0.9542625444997711
2008-09-20,5.78,9.9,218.877,170000.0,191748.4651482811,77669.1931998337,87605.57991396131,75495.55755828493,0,0.9427228245226902,0.9908743008536945,0.9411048002825231,0.9555479660461054
